Departure,Airport Name,City Name,Country Name,Lat,Long
KEGV,Eagle River Union Airport,Eagle River,USA,45.932,-89.268
KJPX,East Hampton Town Airport,"East Hampton, New York",USA,40.956,-72.251
KESN,Easton Newnam Field,Easton,USA,38.804,-76.069
KEDE,Northeastern Regional Airport,Edenton,USA,36.028,-76.567
KELP,El Paso International Airport,El Paso,USA,31.807,-106.378
0A9,Elizabethton Municipal Airport,"Elizabethton, Tennessee",USA,36.372,-82.173
KERI,Erie International Tom Ridge Field,Erie,USA,42.083,-80.174
KEUG,Mahlon Sweet Field,Eugene,USA,44.125,-123.212
KEVV,Evansville Regional Airport,Evansville,USA,38.037,-87.532
KFRG,Republic Airport,Farmingdale,USA,40.729,-73.413
KFHB,Fernandina Beach Municipal Airport,Fernandina Beach,USA,30.612,-81.461
KFLO,Florence Regional Airport,Florence,USA,34.185,-79.724
KFXE,Fort Lauderdale Executive Airport,Fort Lauderdale,USA,26.197,-80.171
KFLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,USA,26.072,-80.153
KFPR,St Lucie County International Airport,Fort Pierce,USA,27.495,-80.368
KAFW,Fort Worth Alliance Airport,Fort Worth,USA,32.988,-97.319
KFKS,Frankfort Dow Memorial Field,Frankfort,USA,44.625,-86.201
KFDK,Frederick Municipal Airport,Frederick,USA,39.418,-77.374
T82,Gillespie County Airport,"Fredericksburg, Texas",USA,30.243,-98.909
KFAT,Fresno Yosemite International Airport,Fresno,USA,36.776,-119.718
KXNX,Sumner County Regional Airport,Gallatin,USA,36.375,-86.408
KGGE,Georgetown County Airport,Georgetown,USA,33.312,-79.320
KGED,Sussex County Airport,Georgetown,USA,38.689,-75.359
KGFL,Floyd Bennett Memorial Airport,Glens Falls,USA,43.341,-73.610
KCKC,Grand Marais Cook County Airport,Grand Marais,USA,47.838,-90.383
MYEF,Exuma International Airport,Great Exuma,BAHAMAS,23.563,-75.878
KGRB,Austin Straubel International Airport,Green Bay,USA,44.485,-88.129
KGSO,Piedmont Triad International Airport,Greensboro,USA,36.098,-79.937
3J7,Greene County Regional Airport ,"Greensboro, Georgia",USA,33.596,-83.139
KGMU,Greenville Downtown Airport,Greenville,USA,34.848,-82.350
KGSP,Greenville Spartanburg International Airport,Greenville,USA,34.896,-82.219
KGON,Groton New London Airport,Groton (New London),USA,41.330,-72.045
KJKA,Jack Edwards Airport,Gulf Shores,USA,30.291,-87.672
KGUC,Gunnison Crested Butte Regional Airport,Gunnison,USA,38.534,-106.933
KSUN,Friedman Memorial Airport,Hailey,USA,43.504,-114.296
CYHZ,Halifax / Stanfield International Airport,Halifax,CANADA,44.881,-63.509
KHAO,Butler Co Regional Airport - Hogan Field,Hamilton,USA,39.364,-84.522
KVGC,Hamilton Municipal Airport,Hamilton,USA,42.844,-75.561
KHRF,Ravalli County Airport ,"Hamilton, Montana",USA,46.257,-114.124
KMGN,Harbor Springs Airport,Harbor Springs,USA,45.426,-84.913
KHWD,Hayward Executive Airport,Hayward,USA,37.659,-122.122
KHYR,Sawyer County Airport,Hayward,USA,46.025,-91.444
KAZE,Hazlehurst Airport,Hazlehurst,USA,31.885,-82.647
